year,month,day,dow,births
1996,1,25,Thursday,11405
1996,1,26,Friday,11195
1996,1,27,Saturday,8487
1996,1,28,Sunday,7533
1996,1,29,Monday,10374
1996,1,30,Tuesday,11359
1996,1,31,Wednesday,10889
1996,2,1,Thursday,11030
1996,2,2,Friday,11335
1996,2,3,Saturday,8390
1996,2,4,Sunday,7531
1996,2,5,Monday,10364
1996,2,6,Tuesday,11360
1996,2,7,Wednesday,11204
1996,2,8,Thursday,11529
1996,2,9,Friday,11577
1996,2,10,Saturday,8578
1996,2,11,Sunday,7710
1996,2,12,Monday,10542
1996,2,13,Tuesday,11322
1996,2,14,Wednesday,12094
1996,2,15,Thursday,11820
1996,2,16,Friday,11666
1996,2,17,Saturday,8465
1996,2,18,Sunday,7763
1996,2,19,Monday,10036
1996,2,20,Tuesday,11598
1996,2,21,Wednesday,11554
1996,2,22,Thursday,11697
1996,2,23,Friday,11415
1996,2,24,Saturday,8692
1996,2,25,Sunday,7917
1996,2,26,Monday,10693
1996,2,27,Tuesday,11761
1996,2,28,Wednesday,11428
1996,2,29,Thursday,10692
1996,3,1,Friday,11785
1996,3,2,Saturday,8719
1996,3,3,Sunday,7885
1996,3,4,Monday,10586
1996,3,5,Tuesday,11475
1996,3,6,Wednesday,11535
1996,3,7,Thursday,11446
1996,3,8,Friday,11272
1996,3,9,Saturday,8611
1996,3,10,Sunday,7512
1996,3,11,Monday,10668
1996,3,12,Tuesday,11623
1996,3,13,Wednesday,11338
1996,3,14,Thursday,11578
1996,3,15,Friday,11860
1996,3,16,Saturday,8691
1996,3,17,Sunday,8010
1996,3,18,Monday,10812
1996,3,19,Tuesday,11764
1996,3,20,Wednesday,11482
1996,3,21,Thursday,11653
1996,3,22,Friday,11727
1996,3,23,Saturday,8534
1996,3,24,Sunday,8002
1996,3,25,Monday,10662
1996,3,26,Tuesday,11764
1996,3,27,Wednesday,11532
1996,3,28,Thursday,11728
1996,3,29,Friday,11659
1996,3,30,Saturday,8712
1996,3,31,Sunday,7956
1996,4,1,Monday,10173
1996,4,2,Tuesday,12055
1996,4,3,Wednesday,11622
1996,4,4,Thursday,11881
1996,4,5,Friday,10985
1996,4,6,Saturday,8354
1996,4,7,Sunday,7372
1996,4,8,Monday,10659
1996,4,9,Tuesday,11631
1996,4,10,Wednesday,11429
1996,4,11,Thursday,11489
1996,4,12,Friday,11462
1996,4,13,Saturday,8565
1996,4,14,Sunday,7687
1996,4,15,Monday,10548
1996,4,16,Tuesday,11754
1996,4,17,Wednesday,11554
1996,4,18,Thursday,11282
1996,4,19,Friday,11438
1996,4,20,Saturday,8451
1996,4,21,Sunday,7789
1996,4,22,Monday,10957
1996,4,23,Tuesday,11979
1996,4,24,Wednesday,11342
1996,4,25,Thursday,11340
1996,4,26,Friday,11070
1996,4,27,Saturday,8444
1996,4,28,Sunday,7567
1996,4,29,Monday,10325
1996,4,30,Tuesday,11391
1996,5,1,Wednesday,11390
1996,5,2,Thursday,11397
1996,5,3,Friday,11011
1996,5,4,Saturday,8483
1996,5,5,Sunday,7821
1996,5,6,Monday,10585
1996,5,7,Tuesday,11567
1996,5,8,Wednesday,11403
1996,5,9,Thursday,11404
1996,5,10,Friday,11471
1996,5,11,Saturday,8495
1996,5,12,Sunday,7758
1996,5,13,Monday,10291
